epoch,metrics/precision(B)_results_11x,metrics/precision(B)_results_10x_normalized,metrics/precision(B)_diff,metrics/recall(B)_results_11x,metrics/recall(B)_results_10x_normalized,metrics/recall(B)_diff,metrics/mAP50(B)_results_11x,metrics/mAP50(B)_results_10x_normalized,metrics/mAP50(B)_diff,metrics/mAP50-95(B)_results_11x,metrics/mAP50-95(B)_results_10x_normalized,metrics/mAP50-95(B)_diff
33,0.81148,0.8774599999999999,-0.06597999999999993,0.93074,0.91926,0.011480000000000046,0.86623,0.92745,-0.06121999999999994,0.38605,0.38095999999999997,0.005090000000000039
34,0.82336,0.81963,0.003730000000000011,0.88186,0.92568,-0.04381999999999997,0.89247,0.89792,-0.005450000000000066,0.37782,0.042460000000000005,0.33536
35,0.88959,0.79904,0.09055000000000002,0.92552,0.8783799999999999,0.04714000000000007,0.92282,0.08692,0.8359,0.42681,0.39954999999999996,0.027260000000000062
36,0.8471,0.82127,0.02583000000000002,0.86102,0.90036,-0.03934000000000004,0.8694,0.92093,-0.051530000000000076,0.41262,0.38262,0.02999999999999997
37,0.81448,0.83487,-0.02039000000000002,0.88995,0.92568,-0.03572999999999993,0.85901,9.06,-8.200990000000001,0.41171,0.41218000000000005,-0.00047000000000002595
38,0.75983,0.08576,0.67407,0.87645,0.89865,-0.022199999999999998,0.80447,0.89838,-0.09390999999999994,0.36004,0.41962000000000005,-0.05958000000000002
39,0.88476,0.84324,0.04152,0.84459,0.79054,0.05404999999999993,0.89813,0.85234,0.04579,0.42101,0.37016,0.050850000000000006
40,0.8159,0.66584,0.15005999999999997,0.90541,0.04443,0.8609800000000001,0.88556,0.43637,0.44919000000000003,0.39992,0.17607,0.22385
41,0.87074,0.62895,0.24178999999999995,0.86479,0.07027,0.7945199999999999,0.9036,0.64485,0.2587499999999999,0.41302,0.02766,0.38536
42,0.82325,0.86786,-0.04460999999999993,0.89189,0.88752,0.004369999999999985,0.87287,0.8968200000000001,-0.023950000000000027,0.4035,0.39966,0.00384000000000001
43,0.85307,0.82793,0.02513999999999994,0.84459,0.91034,-0.06575000000000009,0.88043,0.91035,-0.029919999999999947,0.40237,0.40281,-0.00043999999999999595
44,0.80947,0.84528,-0.03581000000000001,0.88993,0.08121,0.80872,0.88543,0.85843,0.027000000000000024,0.41608,0.37718,0.03889999999999999
45,0.89398,0.8713299999999999,0.02265000000000006,0.86486,0.8783799999999999,-0.013519999999999976,0.90057,0.8890600000000001,0.01150999999999991,0.40861,0.40826,0.00034999999999996145
46,0.84596,0.86068,-0.014719999999999955,0.91892,0.9054099999999999,0.013510000000000022,0.89161,0.91688,-0.025270000000000015,0.42033,0.42171,-0.0013799999999999923
47,0.81676,0.86517,-0.04840999999999995,0.89189,0.83108,0.06080999999999992,0.85868,0.88306,-0.024379999999999957,0.40614,0.39187,0.014270000000000005
48,0.79295,0.08891,0.70404,0.85392,0.86675,-0.012830000000000008,0.84819,0.9272400000000001,-0.07905000000000006,0.37706,0.04105,0.33601000000000003
49,0.88683,0.08102000000000001,0.80581,0.88514,0.8716200000000001,0.013519999999999976,0.93721,0.8830100000000001,0.054199999999999915,0.43172,0.41941,0.012309999999999988
50,0.8846,0.88637,-0.0017699999999999383,0.82873,0.84334,-0.014610000000000012,0.90444,0.90753,-0.003089999999999926,0.43174,0.41926,0.012479999999999991
51,0.89101,0.9128400000000001,-0.021830000000000127,0.87162,0.84917,0.02244999999999997,0.91751,0.89567,0.02184000000000008,0.43955,0.42253999999999997,0.017010000000000025
52,0.84991,0.08294,0.76697,0.93243,0.83784,0.09458999999999995,0.93974,0.87715,0.06259000000000003,0.43096,0.40514000000000006,0.025819999999999954
53,0.82143,0.86127,-0.03983999999999999,0.91892,0.85811,0.06080999999999992,0.90644,0.90235,0.004090000000000038,0.41814,0.41430999999999996,0.0038300000000000556
54,0.86724,0.08685000000000001,0.78039,0.87838,0.8479300000000001,0.030449999999999977,0.90803,0.9012399999999999,0.006790000000000074,0.41672,0.39787999999999996,0.018840000000000023
55,0.83333,0.88744,-0.05410999999999999,0.91216,0.83784,0.07431999999999994,0.92641,0.8891800000000001,0.037229999999999874,0.42334,0.40110999999999997,0.022230000000000028
56,0.88498,0.8311799999999999,0.05380000000000007,0.91216,0.8648600000000001,0.0472999999999999,0.94207,0.8796299999999999,0.06244000000000005,0.43889,0.40360999999999997,0.035280000000000034
57,0.86393,0.08228999999999999,0.78164,0.89189,0.85811,0.03377999999999992,0.9224,0.8769199999999999,0.045480000000000076,0.43864,0.40320999999999996,0.03543000000000002
58,0.83292,0.8508199999999999,-0.017899999999999916,0.87577,0.91216,-0.03638999999999992,0.88665,0.91256,-0.02590999999999999,0.40224,0.39258000000000004,0.009659999999999946
59,0.84402,0.8625799999999999,-0.01855999999999991,0.87751,0.8445900000000001,0.03291999999999995,0.89574,0.08994999999999999,0.80579,0.42044,0.039060000000000004,0.38138
60,0.85168,0.83624,0.01544000000000001,0.90541,0.89865,0.006760000000000099,0.92053,0.91596,0.004569999999999963,0.41503,0.42429,-0.00925999999999999
61,0.89862,0.90649,-0.007870000000000044,0.89189,0.8783799999999999,0.013510000000000022,0.93652,0.91351,0.023009999999999975,0.42424,0.36314,0.06109999999999999
62,0.89484,0.8579600000000001,0.03687999999999991,0.87838,0.8570399999999999,0.021340000000000137,0.90362,0.90145,0.0021700000000000053,0.40687,0.42469,-0.017820000000000003
63,0.83322,0.8508499999999999,-0.017629999999999924,0.87769,0.8716200000000001,0.006069999999999909,0.9045,0.89988,0.0046199999999999575,0.42317,0.39051,0.03265999999999997
64,0.81887,0.89208,-0.07321,0.91216,0.83784,0.07431999999999994,0.89774,0.90461,-0.006870000000000043,0.42712,0.41853999999999997,0.008580000000000032
65,0.82576,0.87591,-0.05014999999999992,0.91216,0.89865,0.013510000000000022,0.89914,0.9222199999999999,-0.02307999999999988,0.4513,0.43258,0.01871999999999996
66,0.84212,0.86979,-0.027669999999999972,0.86498,0.8783799999999999,-0.013399999999999967,0.88362,0.93708,-0.05346000000000006,0.41377,0.40122,0.012550000000000006
67,0.84502,0.78132,0.06369999999999998,0.88421,0.8648600000000001,0.01934999999999998,0.91625,0.87471,0.04154000000000002,0.43527,0.40579,0.029480000000000006
68,0.8537,0.85934,-0.005639999999999978,0.89189,0.85135,0.04053999999999991,0.93285,0.89656,0.03628999999999993,0.46015,0.39728,0.06286999999999998
69,0.8229,0.83368,-0.010780000000000012,0.88514,0.09527,0.7898700000000001,0.89723,0.92049,-0.02326000000000006,0.41102,0.40387,0.00714999999999999
70,0.842,0.84803,-0.00602999999999998,0.91216,0.91892,-0.006759999999999988,0.92279,0.09271000000000001,0.8300799999999999,0.41841,0.39647,0.021940000000000015
71,0.86417,0.84355,0.02061999999999997,0.85977,0.87438,-0.014610000000000012,0.92106,0.89771,0.023349999999999982,0.43759,0.42761000000000005,0.009979999999999933
72,0.81564,0.08189,0.73375,0.91892,0.91216,0.006759999999999988,0.90839,0.91917,-0.010780000000000012,0.4388,0.41717,0.021630000000000038
73,0.82618,0.84124,-0.015059999999999962,0.88514,0.89511,-0.009969999999999923,0.90247,0.91848,-0.01600999999999997,0.44952,0.40494,0.04457999999999995
74,0.85823,0.87798,-0.019749999999999934,0.91216,0.82651,0.08565,0.91769,0.8965900000000001,0.021099999999999897,0.41255,0.40816,0.0043899999999999495
75,0.82548,0.89994,-0.07445999999999997,0.90541,0.85078,0.05463000000000007,0.89474,0.91137,-0.016630000000000034,0.4301,0.41556,0.014539999999999997
76,0.88076,0.87898,0.0017800000000000038,0.89835,0.83429,0.06406,0.93485,0.90961,0.02523999999999993,0.44414,0.41269,0.03144999999999998
77,0.89495,0.8435299999999999,0.05142000000000013,0.86486,0.83777,0.027089999999999947,0.94458,0.8882800000000001,0.056299999999999906,0.45456,0.39787999999999996,0.056680000000000064
78,0.85102,0.09036,0.76066,0.93919,0.8233499999999999,0.11584000000000005,0.95071,0.89546,0.05525000000000002,0.46528,0.042460000000000005,0.42282000000000003
79,0.88937,0.90116,-0.011789999999999967,0.86486,0.85811,0.006749999999999923,0.91627,0.94632,-0.03005000000000002,0.4591,0.41533000000000003,0.043769999999999976
80,0.86226,0.8592799999999999,0.0029800000000000937,0.92568,0.8783799999999999,0.04730000000000001,0.93953,0.9158700000000001,0.023659999999999903,0.444,0.41949,0.024510000000000032
81,0.87586,0.87521,0.0006499999999999284,0.90572,0.8445900000000001,0.06112999999999991,0.9353,0.90999,0.025310000000000055,0.46357,0.04176,0.42180999999999996
82,0.86447,0.9124099999999999,-0.04793999999999998,0.90506,0.8851399999999999,0.01992000000000005,0.93234,0.93389,-0.0015500000000000513,0.44813,0.04073,0.4074
83,0.90338,0.88564,0.017739999999999978,0.89865,0.88958,0.009069999999999911,0.93926,0.9152899999999999,0.023970000000000047,0.42207,0.42872,-0.006649999999999989
84,0.91032,0.08517,0.82515,0.91216,0.85811,0.05404999999999993,0.95277,0.91154,0.04122999999999999,0.44211,0.40318,0.03893000000000002
85,0.87588,0.8728400000000001,0.0030399999999999316,0.89189,0.83485,0.05703999999999998,0.92617,0.89184,0.03433000000000008,0.43326,0.41873,0.014529999999999987
86,0.83507,0.8669199999999999,-0.031849999999999934,0.88948,0.91892,-0.02943999999999991,0.9078,0.9454699999999999,-0.03766999999999987,0.44005,0.03955,0.40049999999999997
87,0.8778,0.83358,0.04422000000000004,0.89865,0.92568,-0.02703,0.94661,0.91546,0.0311499999999999,0.4275,0.42125999999999997,0.006240000000000023
88,0.8442,0.86252,-0.018320000000000003,0.91892,0.84784,0.07107999999999992,0.94064,0.90116,0.03948000000000007,0.46908,0.43048000000000003,0.03859999999999997
89,0.85478,0.82729,0.027490000000000014,0.93243,0.9054099999999999,0.027020000000000044,0.94849,0.09176000000000001,0.85673,0.43394,0.40312,0.030820000000000014
90,0.87726,0.08924,0.78802,0.89189,0.83108,0.06080999999999992,0.94531,0.09256,0.85275,0.45116,0.03999,0.41117000000000004
91,0.88046,0.8602200000000001,0.020239999999999925,0.89584,0.81757,0.07826999999999995,0.94358,0.87728,0.06630000000000003,0.44541,0.41735,0.028059999999999974
92,0.85511,0.86431,-0.009199999999999986,0.91721,0.8648600000000001,0.0523499999999999,0.94579,0.90724,0.03854999999999997,0.44491,0.42345,0.021460000000000035
93,0.8649,0.8972100000000001,-0.03231000000000006,0.89189,0.85811,0.03377999999999992,0.92671,0.9215800000000001,0.005129999999999968,0.46051,0.42341999999999996,0.03709000000000001
94,0.8583,0.84363,0.01466999999999996,0.90039,0.91216,-0.011769999999999947,0.9369,0.91711,0.019789999999999974,0.43287,0.42783,0.005039999999999989
95,0.85107,0.87273,-0.021660000000000013,0.92673,0.88036,0.04637000000000002,0.94778,0.9337399999999999,0.014040000000000052,0.46354,0.040819999999999995,0.42272
96,0.85772,0.89535,-0.03762999999999994,0.90541,0.8671599999999999,0.03825000000000012,0.94568,0.94616,-0.00048000000000003595,0.4561,0.42579,0.030310000000000004
97,0.85629,0.84803,0.008260000000000045,0.88572,0.09049,0.79523,0.93439,0.09321,0.84118,0.44384,0.41466000000000003,0.029179999999999984
98,0.86403,0.8621899999999999,0.0018400000000000638,0.88514,0.08877,0.79637,0.92992,0.93661,-0.006690000000000085,0.44245,0.41534999999999994,0.02710000000000007
99,0.88775,0.86809,0.01966000000000001,0.89189,0.08893000000000001,0.8029599999999999,0.93226,0.94277,-0.01051000000000002,0.43855,0.41348,0.02506999999999998
100,0.88939,0.86031,0.029079999999999995,0.89189,0.91551,-0.023620000000000085,0.9346,0.9391700000000001,-0.004570000000000074,0.4441,0.41184,0.03226000000000001
