epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1570.29,1.7533,0.87202,0.95638,0.80947,0.88993,0.88543,0.41608,1.74822,0.95133,0.96697,0.0011486,0.0011486,0.0011486
45,1606.96,1.71946,0.86826,0.95141,0.89398,0.86486,0.90057,0.40861,1.77066,0.90674,0.97358,0.0011288,0.0011288,0.0011288
46,1640.16,1.75565,0.85792,0.95345,0.84596,0.91892,0.89161,0.42033,1.73123,0.91111,0.96031,0.001109,0.001109,0.001109
47,1673.2,1.77107,0.87006,0.94458,0.81676,0.89189,0.85868,0.40614,1.71423,0.97743,0.96183,0.0010892,0.0010892,0.0010892
48,1706.26,1.74208,0.88087,0.95314,0.79295,0.85392,0.84819,0.37706,1.77129,1.02287,0.97894,0.0010694,0.0010694,0.0010694
49,1739.35,1.72351,0.86922,0.9375,0.88683,0.88514,0.93721,0.43172,1.72882,0.89863,0.96327,0.0010496,0.0010496,0.0010496
50,1781.66,1.71401,0.84762,0.94586,0.8846,0.82873,0.90444,0.43174,1.74317,0.90518,0.96477,0.0010298,0.0010298,0.0010298
51,1820.06,1.73947,0.86266,0.95579,0.89101,0.87162,0.91751,0.43955,1.72702,0.89095,0.9646,0.00101,0.00101,0.00101
52,1854.28,1.70926,0.82135,0.95501,0.84991,0.93243,0.93974,0.43096,1.7511,0.86598,0.96798,0.0009902,0.0009902,0.0009902
53,1890.52,1.74358,0.85042,0.95566,0.82143,0.91892,0.90644,0.41814,1.72653,0.93084,0.96615,0.0009704,0.0009704,0.0009704
54,1923.74,1.72038,0.85359,0.94934,0.86724,0.87838,0.90803,0.41672,1.71739,0.98848,0.96281,0.0009506,0.0009506,0.0009506
55,1956.67,1.69324,0.85868,0.95123,0.83333,0.91216,0.92641,0.42334,1.77584,0.91952,0.97572,0.0009308,0.0009308,0.0009308
56,1991.79,1.73084,0.84871,0.95614,0.88498,0.91216,0.94207,0.43889,1.7763,0.92867,0.96682,0.000911,0.000911,0.000911
57,2030.27,1.76519,0.84605,0.96,0.86393,0.89189,0.9224,0.43864,1.74059,0.92675,0.96313,0.0008912,0.0008912,0.0008912
58,2067.81,1.74494,0.84909,0.95012,0.83292,0.87577,0.88665,0.40224,1.81814,0.91915,0.96924,0.0008714,0.0008714,0.0008714
59,2100.36,1.72308,0.83352,0.9453,0.84402,0.87751,0.89574,0.42044,1.78035,0.93319,0.96837,0.0008516,0.0008516,0.0008516
60,2138.74,1.71863,0.84396,0.94888,0.85168,0.90541,0.92053,0.41503,1.76378,0.92222,0.96781,0.0008318,0.0008318,0.0008318
61,2171.17,1.68117,0.80741,0.93846,0.89862,0.89189,0.93652,0.42424,1.81157,0.93572,0.96769,0.000812,0.000812,0.000812
62,2209,1.72968,0.8263,0.94888,0.89484,0.87838,0.90362,0.40687,1.87213,0.90582,0.98144,0.0007922,0.0007922,0.0007922
63,2245.7,1.67921,0.80737,0.93356,0.83322,0.87769,0.9045,0.42317,1.77149,0.89534,0.96809,0.0007724,0.0007724,0.0007724
64,2283.02,1.72659,0.82929,0.96233,0.81887,0.91216,0.89774,0.42712,1.70341,0.95191,0.9629,0.0007526,0.0007526,0.0007526
65,2315.83,1.70292,0.82922,0.93823,0.82576,0.91216,0.89914,0.4513,1.68838,0.91413,0.95872,0.0007328,0.0007328,0.0007328
66,2349.62,1.70335,0.80888,0.94085,0.84212,0.86498,0.88362,0.41377,1.76751,0.95825,0.97736,0.000713,0.000713,0.000713
67,2382.51,1.68989,0.79672,0.94876,0.84502,0.88421,0.91625,0.43527,1.77433,0.90747,0.96937,0.0006932,0.0006932,0.0006932
68,2420.4,1.72021,0.83823,0.95357,0.8537,0.89189,0.93285,0.46015,1.72317,0.8621,0.95936,0.0006734,0.0006734,0.0006734
69,2458.16,1.70451,0.82531,0.93483,0.8229,0.88514,0.89723,0.41102,1.8023,0.90508,0.97334,0.0006536,0.0006536,0.0006536
70,2495.82,1.67814,0.80281,0.93448,0.842,0.91216,0.92279,0.41841,1.8222,0.90059,0.98159,0.0006338,0.0006338,0.0006338
71,2539.14,1.67817,0.79923,0.93641,0.86417,0.85977,0.92106,0.43759,1.76657,0.87987,0.96386,0.000614,0.000614,0.000614
72,2575.16,1.69913,0.80293,0.94522,0.81564,0.91892,0.90839,0.4388,1.76567,0.92022,0.96707,0.0005942,0.0005942,0.0005942
73,2607.6,1.65523,0.78793,0.93391,0.82618,0.88514,0.90247,0.44952,1.6915,0.9035,0.95474,0.0005744,0.0005744,0.0005744
74,2640.18,1.70265,0.80322,0.95704,0.85823,0.91216,0.91769,0.41255,1.82254,0.85743,0.97496,0.0005546,0.0005546,0.0005546
75,2678.17,1.68681,0.81054,0.94223,0.82548,0.90541,0.89474,0.4301,1.69674,0.96642,0.95478,0.0005348,0.0005348,0.0005348
76,2711.05,1.67836,0.79394,0.93936,0.88076,0.89835,0.93485,0.44414,1.73477,0.89142,0.96441,0.000515,0.000515,0.000515
77,2743.94,1.65906,0.79509,0.92661,0.89495,0.86486,0.94458,0.45456,1.7577,0.86927,0.96109,0.0004952,0.0004952,0.0004952
78,2780.88,1.6862,0.79492,0.92525,0.85102,0.93919,0.95071,0.46528,1.71431,0.85161,0.95778,0.0004754,0.0004754,0.0004754
